video_id,gloss,split,processed_path,gloss_id
personal_1753428389,feel,train,processed_sequences\train\personal_1753428389.npy,0
personal_1753428389_aug0,feel,train,processed_sequences\train\personal_1753428389_aug0.npy,0
personal_1753428389_aug1,feel,train,processed_sequences\train\personal_1753428389_aug1.npy,0
personal_1753428389_aug2,feel,train,processed_sequences\train\personal_1753428389_aug2.npy,0
personal_1753428389_aug3,feel,train,processed_sequences\train\personal_1753428389_aug3.npy,0
personal_1753428389_aug4,feel,train,processed_sequences\train\personal_1753428389_aug4.npy,0
personal_1753428133,feel,train,processed_sequences\train\personal_1753428133.npy,0
personal_1753428133_aug0,feel,train,processed_sequences\train\personal_1753428133_aug0.npy,0
personal_1753428133_aug1,feel,train,processed_sequences\train\personal_1753428133_aug1.npy,0
personal_1753428133_aug2,feel,train,processed_sequences\train\personal_1753428133_aug2.npy,0
personal_1753428133_aug3,feel,train,processed_sequences\train\personal_1753428133_aug3.npy,0
personal_1753428133_aug4,feel,train,processed_sequences\train\personal_1753428133_aug4.npy,0
personal_1753428124,feel,train,processed_sequences\train\personal_1753428124.npy,0
personal_1753428124_aug0,feel,train,processed_sequences\train\personal_1753428124_aug0.npy,0
personal_1753428124_aug1,feel,train,processed_sequences\train\personal_1753428124_aug1.npy,0
personal_1753428124_aug2,feel,train,processed_sequences\train\personal_1753428124_aug2.npy,0
personal_1753428124_aug3,feel,train,processed_sequences\train\personal_1753428124_aug3.npy,0
personal_1753428124_aug4,feel,train,processed_sequences\train\personal_1753428124_aug4.npy,0
personal_1753428183,feel,train,processed_sequences\train\personal_1753428183.npy,0
personal_1753428183_aug0,feel,train,processed_sequences\train\personal_1753428183_aug0.npy,0
personal_1753428183_aug1,feel,train,processed_sequences\train\personal_1753428183_aug1.npy,0
personal_1753428183_aug2,feel,train,processed_sequences\train\personal_1753428183_aug2.npy,0
personal_1753428183_aug3,feel,train,processed_sequences\train\personal_1753428183_aug3.npy,0
personal_1753428183_aug4,feel,train,processed_sequences\train\personal_1753428183_aug4.npy,0
personal_1753428102,feel,train,processed_sequences\train\personal_1753428102.npy,0
personal_1753428102_aug0,feel,train,processed_sequences\train\personal_1753428102_aug0.npy,0
personal_1753428102_aug1,feel,train,processed_sequences\train\personal_1753428102_aug1.npy,0
personal_1753428102_aug2,feel,train,processed_sequences\train\personal_1753428102_aug2.npy,0
personal_1753428102_aug3,feel,train,processed_sequences\train\personal_1753428102_aug3.npy,0
personal_1753428102_aug4,feel,train,processed_sequences\train\personal_1753428102_aug4.npy,0
personal_1753428616,feel,train,processed_sequences\train\personal_1753428616.npy,0
personal_1753428616_aug0,feel,train,processed_sequences\train\personal_1753428616_aug0.npy,0
personal_1753428616_aug1,feel,train,processed_sequences\train\personal_1753428616_aug1.npy,0
personal_1753428616_aug2,feel,train,processed_sequences\train\personal_1753428616_aug2.npy,0
personal_1753428616_aug3,feel,train,processed_sequences\train\personal_1753428616_aug3.npy,0
personal_1753428616_aug4,feel,train,processed_sequences\train\personal_1753428616_aug4.npy,0
personal_1753428500,feel,train,processed_sequences\train\personal_1753428500.npy,0
personal_1753428500_aug0,feel,train,processed_sequences\train\personal_1753428500_aug0.npy,0
personal_1753428500_aug1,feel,train,processed_sequences\train\personal_1753428500_aug1.npy,0
personal_1753428500_aug2,feel,train,processed_sequences\train\personal_1753428500_aug2.npy,0
personal_1753428500_aug3,feel,train,processed_sequences\train\personal_1753428500_aug3.npy,0
personal_1753428500_aug4,feel,train,processed_sequences\train\personal_1753428500_aug4.npy,0
personal_1753428379,feel,train,processed_sequences\train\personal_1753428379.npy,0
personal_1753428379_aug0,feel,train,processed_sequences\train\personal_1753428379_aug0.npy,0
personal_1753428379_aug1,feel,train,processed_sequences\train\personal_1753428379_aug1.npy,0
personal_1753428379_aug2,feel,train,processed_sequences\train\personal_1753428379_aug2.npy,0
personal_1753428379_aug3,feel,train,processed_sequences\train\personal_1753428379_aug3.npy,0
personal_1753428379_aug4,feel,train,processed_sequences\train\personal_1753428379_aug4.npy,0
personal_1753428470,feel,train,processed_sequences\train\personal_1753428470.npy,0
personal_1753428470_aug0,feel,train,processed_sequences\train\personal_1753428470_aug0.npy,0
personal_1753428470_aug1,feel,train,processed_sequences\train\personal_1753428470_aug1.npy,0
personal_1753428470_aug2,feel,train,processed_sequences\train\personal_1753428470_aug2.npy,0
personal_1753428470_aug3,feel,train,processed_sequences\train\personal_1753428470_aug3.npy,0
personal_1753428470_aug4,feel,train,processed_sequences\train\personal_1753428470_aug4.npy,0
