genotype_id,crop,site,season,rep,block,row,tree_position,evaluation_date,evaluator,fruit_weight_g,brix_content,skin_color_score,flesh_firmness_kg,disease_resistance_score,tree_vigor_score,yield_kg_per_tree,days_to_maturity,fruit_length_mm,fruit_width_mm
MNG-2018-0001,mango,Hoedspruit_A,2024-2025,1,B1,9,3,2025-03-13,TM_01,373.22,13.44,5.0,5.54,2.0,4.0,114.32,127.65,,68.49
MNG-2018-0001,mango,Hoedspruit_A,2024-2025,2,B2,15,23,2025-01-24,TM_03,378.34,12.56,7.0,4.99,2.0,4.0,87.58,129.9,111.21,73.73
MNG-2018-0001,mango,Hoedspruit_A,2024-2025,3,B1,7,17,2025-01-28,TM_01,414.55,15.6,7.0,5.31,1.0,3.0,94.98,118.94,113.41,74.93
MNG-2018-0002,mango,Hoedspruit_A,2024-2025,1,B4,10,27,2025-01-27,JN_01,341.54,18.56,6.0,5.85,7.0,4.0,106.77,126.56,122.64,77.79
MNG-2018-0002,mango,Hoedspruit_A,2024-2025,2,B4,6,1,2025-02-20,TM_01,374.16,18.55,5.0,7.18,6.0,5.0,95.74,131.86,125.85,84.85
MNG-2018-0002,mango,Hoedspruit_A,2024-2025,3,B4,5,13,2025-02-24,JN_01,416.14,14.4,5.0,6.1,6.0,5.0,100.49,136.88,124.13,74.52
MNG-2018-0003,mango,Hoedspruit_A,2024-2025,1,B4,3,17,2025-03-11,JN_01,358.7,15.36,6.0,5.18,6.0,6.0,107.05,138.07,121.18,81.72
MNG-2018-0003,mango,Hoedspruit_A,2024-2025,2,B1,18,14,2025-03-15,TM_01,367.5,14.7,9.0,5.52,5.0,5.0,104.21,141.97,108.62,89.13
MNG-2018-0003,mango,Hoedspruit_A,2024-2025,3,B3,2,15,2025-02-01,TM_02,349.37,14.16,5.0,5.39,4.0,3.0,88.68,155.44,118.92,84.83
MNG-2018-0004,mango,Hoedspruit_A,2024-2025,1,B2,8,12,2025-02-11,TM_01,458.7,16.35,5.0,3.0,7.0,8.0,91.19,133.56,88.91,84.74
MNG-2018-0004,mango,Hoedspruit_A,2024-2025,3,B2,10,26,2025-01-31,TM_01,443.34,16.62,4.0,3.13,7.0,6.0,97.7,142.6,101.78,81.9
MNG-2018-0005,mango,Hoedspruit_A,2024-2025,1,B2,9,3,2025-01-23,JN_01,374.82,17.13,5.0,6.73,6.0,4.0,106.54,150.08,113.83,84.36
MNG-2018-0005,mango,Hoedspruit_A,2024-2025,2,B4,3,28,2025-01-19,TM_02,337.22,16.79,4.0,5.3,6.0,6.0,103.47,154.9,112.67,74.87
MNG-2018-0005,mango,Hoedspruit_A,2024-2025,3,B1,12,9,2025-03-08,TM_03,343.88,19.52,5.0,3.34,5.0,6.0,,131.2,132.6,84.28
