genotype_id,family,stage,site,season,rep,fruit_weight_g,brix_content,skin_color_score,flesh_firmness_kg,disease_resistance,tree_vigor,yield_kg,fruit_length_mm,fruit_width_mm,shelf_life_days,shape_index
MNG-2021-0038,Cross_12,Seedling,Hoedspruit_A,2022-2023,1,344.74,13.88,5.0,2.02,7.0,6.0,75.81,114.52,74.02,15.85,1.55
MNG-2021-0038,Cross_12,Seedling,Hoedspruit_A,2022-2023,2,354.57,13.18,6.0,2.28,,6.0,88.7,109.87,72.82,14.21,1.51
MNG-2021-0038,Cross_12,Seedling,Hoedspruit_A,2022-2023,3,351.08,12.49,7.0,3.6,8.0,7.0,89.27,105.68,77.41,15.54,1.37
MNG-2018-0021,Cross_11,Phase_1,Hoedspruit_A,2022-2023,1,322.41,16.5,6.0,5.96,5.0,7.0,80.93,120.94,62.47,12.02,1.94
MNG-2018-0021,Cross_11,Phase_1,Hoedspruit_A,2022-2023,2,323.71,17.13,6.0,4.61,4.0,5.0,52.65,116.19,65.29,10.18,1.78
MNG-2018-0021,Cross_11,Phase_1,Hoedspruit_A,2022-2023,3,342.98,16.74,8.0,3.98,5.0,6.0,75.84,120.51,65.26,11.88,1.85
MNG-2018-0005,Cross_09,Phase_2,Hoedspruit_A,2022-2023,1,277.18,14.49,7.0,5.02,4.0,4.0,80.29,82.14,78.82,11.75,1.04
MNG-2018-0005,Cross_09,Phase_2,Hoedspruit_A,2022-2023,2,330.03,14.75,6.0,4.83,3.0,5.0,71.67,88.65,77.28,17.11,1.15
MNG-2018-0005,Cross_09,Phase_2,Hoedspruit_A,2022-2023,3,332.8,14.07,8.0,4.39,4.0,5.0,86.99,98.22,70.98,15.62,1.38
MNG-2021-0032,Cross_06,Advanced,Hoedspruit_A,2022-2023,1,298.95,16.0,7.0,4.93,4.0,5.0,68.39,,77.06,14.67,
MNG-2021-0032,Cross_06,Advanced,Hoedspruit_A,2022-2023,2,312.64,14.32,5.0,4.72,5.0,5.0,74.27,95.91,72.95,15.85,1.31
